gen,k1,k2,f,w,paramsMuted
666625,10000144.2953,100000112.937,92.5006949318,0.999297821449,f k1 k2
666682,10000144.2953,100000119.869,92.5006949318,0.999297821411,k2
669726,10000139.0242,100000119.869,47.8280727807,0.99965049657,f k1
671687,10000123.5822,100000124.615,65.5528922105,0.999496076744,f k1 k2
672094,10000097.3601,100000148.131,43.3447730491,0.999693165873,f k1 k2
672443,10000128.5798,100000144.732,58.9552738461,0.999551010731,f k1 k2
674087,10000121.0322,100000140.794,48.0899741641,0.99964805148,f k1 k2
674866,10000121.0322,100000140.794,59.5628195142,0.999545831668,f
679543,10000121.0322,100000126.985,59.5628195142,0.999545831729,k2
680257,10000082.3845,100000144.813,50.6739096857,0.999624197339,f k1 k2
681005,10000077.0592,100000157.465,32.6892535008,0.99980038072,f k1 k2
683709,10000077.0592,100000139.267,32.1064397325,0.999806447473,f k2
685141,10000057.0664,100000139.267,32.1064397325,0.999806448133,k1
688173,10000060.8913,100000103.597,55.9081534078,0.999577375384,f k1 k2
689492,10000096.0802,100000077.095,55.9081534078,0.999577373796,k1 k2
693040,10000089.7866,100000073.744,46.7109235614,0.999660989383,f k1 k2
694068,10000089.7866,100000090.537,66.1347994523,0.999491368471,f k2
694152,10000089.7866,100000090.537,66.8097987492,0.999485931239,f
695647,10000089.7866,100000089.441,77.1367732308,0.999406120678,f k2
696242,10000062.5054,100000089.441,38.0243591839,0.999745739047,f k1
700596,10000075.9033,100000099.523,39.8616630111,0.999727352133,f k1 k2
700983,10000100.2339,100000099.523,44.6380376441,0.999680702783,f k1
701724,10000096.954,100000099.523,44.6380376441,0.999680702922,k1
704627,10000100.3229,100000099.523,44.6380376441,0.999680702779,k1
704898,10000097.4536,100000119.786,44.6380376441,0.999680702825,k1 k2
705102,10000122.8638,100000135.408,44.6380376441,0.999680701692,k1 k2
706943,10000134.386,100000135.408,44.6380376441,0.999680701205,k1
709897,10000098.3519,100000135.408,44.6380376441,0.999680702728,k1
710031,10000135.6589,100000126.602,44.6380376441,0.999680701184,k1 k2
714023,10000135.6589,100000126.602,51.8087563302,0.999613874028,f
717239,10000135.6589,100000124.805,51.8087563302,0.999613874036,k2
720746,10000135.6589,100000124.805,55.6297774633,0.999579812328,f
721663,10000155.0442,100000100.529,55.6297774633,0.999579811497,k1 k2
721850,10000184.8915,100000137.265,92.4753480799,0.999297988331,f k1 k2
722088,10000160.1701,100000152.954,69.8117867472,0.999462084137,f k1 k2
727783,10000160.1701,100000142.564,69.8117867472,0.999462084187,k2
730455,10000160.9911,100000158.349,85.5889854675,0.99934512001,f k1 k2
731409,10000199.5156,100000182.066,75.0626179773,0.999421655273,f k1 k2
741167,10000199.5156,100000182.066,47.902021817,0.999649802547,f
745253,10000238.6507,100000189.478,41.816308207,0.999708051024,f k1 k2
747186,10000231.0474,100000189.478,41.816308207,0.999708051331,k1
749861,10000221.931,100000181.871,38.9441317165,0.999736498442,f k1 k2
750307,10000221.931,100000188.669,38.9441317165,0.999736498419,k2
751920,10000221.931,100000198.3,39.9695937213,0.999726273437,f k2
